crop id,Province,District,id,deviceTimestamp,alt,direction,accuracy,notice,Interviewer's comments,Irrigated/Rainfed,Method of irrigation,Acres of Land Owned,Acres of Land Rented,Main Fertilizer,Number of main crops ,Crop,"Yield, maund",Area for yield,Area Unit,Crop harvesting method,Residue use: animal fodder  (%),Residue use: domestic burning (%),Residue use: sold to industry (%),Residue use: sold to biomass supplier (%),Residue use: fertilizer in the field (%),Residue use: left in field for burning (%),Unit price of Residue (Rs/ton),Residue sold to industry,Willingness to bale the biomass to be sold,Need for a private service provider for the bailing,"Agreement for a cooperative harvesting, baling and transporting arrangement",Need for a bargaining agent,Currently growing crop,Last crop,Second Last Crop,Location 1
1,Sindh,Qambar Shahdadkot,46311,09/18/2015 09:20:59 PM,4.2,0,8,"
",l,irrigated,canal water,10,0,Chemical,1,Rice,65,1,acre,manual,10%,0%,0%,0%,0%,90%,0,None,Yes,No,Yes,No,Rice,Wheat,Rice,"(27.497071471046102, 67.947826514870997)"
1,Sindh,Qambar Shahdadkot,47237,09/19/2015 12:28:14 PM,3,92,4,"
", ,irrigated,canal water,30,0,Chemical,1,Rice,60,1,acre,manual,50%,50%,0%,0%,0%,0%,0,None,Yes,Yes,Yes,No,Rice,Wheat,Rice,"(27.86894886, 67.959376259999999)"
1,Sindh,Matiari,37941,09/10/2015 04:31:37 PM,-5,203,3,Banana,banana,irrigated,canal water,6,0,Chemical,1,Cotton,20,1,acre,manual,0%,0%,0%,0%,0%,100%,0,None,No,No,No,No,Cotton,Wheat,Cotton,"(26.01557738, 68.406060719999999)"
1,Punjab,Okara,28732,06/05/2015 01:23:58 AM,176.3,106,2,chilli,nice man,irrigated,both,6,0,Chemical,1,Wheat,25,1,acre,manual,100%,0%,0%,0%,0%,0%,0,None,No,Yes,No,No,Wheat,Cotton,Wheat,"(30.862766666666701, 73.497225)"
1,Khyber Pakhtunkhwa,Malakand,29885,06/10/2015 08:18:55 PM,656.8,73,2.3,"
best",nice,irrigated,No selected item,0,2,Chemical,1,Wheat,40,1,acre,manual,95%,5%,0%,0%,0%,0%,2000,None,No,No,Yes,No,Wheat,Rice,Maize,"(34.611833333333301, 71.942481666666694)"
3,Khyber Pakhtunkhwa,Mardan,20460,05/08/2015 11:16:38 AM,455.3,2,2.6,well,nice peoples,irrigated,canal water,5,0,Chemical,,Wheat,23,1,acre,manual,100%,0%,0%,0%,0%,0%,0,None,Yes,Yes,Yes,Yes,Wheat,Sugarcane,Maize,"(34.360841666666701, 72.063401666666707)"
1,Punjab,Okara,32160,07/04/2015 01:54:41 PM,169.2,0,20,chilli,nice man,irrigated,both,5,0,Chemical,1,Rice,38,1,acre,manual,100%,0%,0%,0%,0%,0%,0,None,No,No,No,No,Rice,Wheat,Rice,"(30.942516666666702, 73.364845000000003)"
1,Sindh,Khairpur,52105,09/22/2015 09:29:35 PM,8,0,3,"
", ,irrigated,both,5,0,Chemical,1,Cotton,40,1,acre,manual,30%,0%,0%,0%,0%,70%,0,None,Yes,Yes,No,No,Cotton,Wheat,Cotton,"(27.053613739999999, 68.97854074)"
1,Punjab,Jhang,20155,05/07/2015 10:23:39 AM,158,0,2.1,0,0,irrigated,both,4.5,0,Chemical,1,Wheat,24,1,acre,manual,100%,0%,0%,0%,0%,0%,0,None,No,No,No,No,Wheat,Rice,Wheat,"(31.3422816666667, 72.312666666666701)"
1,Sindh,Khairpur,51010,09/21/2015 01:50:04 PM,63,0,20,"
", ,irrigated,both,9,0,Chemical,1,Cotton,30,1,acre,manual,10%,40%,0%,0%,0%,50%,0,None,Yes,Yes,No,No,Cotton,Wheat,Cotton,"(27.19453, 68.429198333333304)"
